SiteCode,SiteId,Name,Location,Latitude,Longitude,DataOwner,AnalysedBy,State
564cd6391f3bb07654286aeca3e27974,151,Bar Island,NA,-33.52909333,151.14368333,Hornsby Council,Microalgal solutions,NSW
388ccc868a5485fe254158f573f65fa9,152,Courangra Point,NA,-33.47255,151.13343,Hornsby Council,Microalgal solutions,NSW
4506129cb5c4919a52553a1a5dcfdf23,153,Laughtondale,NA,-33.40256333,151.01783833,Hornsby Council,Microalgal solutions,NSW
084666dd472b1acd535b464e7a748532,16,Pambula Lake,Confluence of Towaka and Pambula Rivers,-36.9749,149.8982,NSW Food Authority,Microalgal Solutions,NSW
acb074737bd8b94d7df3a0815dfabe97,17,Bellinger River,NA,-30.4574,153.033,NSW Food Authority,Microalgal Solutions,NSW
f1c5e526f93276929d48301c171169c9,17,Pambula Lake,Confluence of Towaka and Pambula Rivers,-36.9713,149.8915,NSW Food Authority,Microalgal Solutions,NSW
28e5ffab82a3e522a2ce5d80b50fdbf4,17,Wapengo Lagoon,NA,-36.6234,150.017,NSW Food Authority,Microalgal Solutions,NSW
20272300f07f6f6c6bcf29dc93a38eee,174,Mullet Creek,NA,-33.52747333,151.2361,Hornsby Council,Microalgal solutions,NSW
e6aab341fe2e0e7256af2ca4c821e257,18,Kalang River,NA,-30.499,153.01,NSW Food Authority,Microalgal Solutions,NSW
49e989b84c97ec6753a8c27eaeedd593,18,Macleay River,NA,-30.8515,153.003,NSW Food Authority,Microalgal Solutions,NSW
02c649fc6ba8e4f9ca3d1ac206f0734e,18,Wapengo Lagoon,NA,-36.6015,150.013,NSW Food Authority,Microalgal Solutions,NSW
3c035780d9bd1f237b88ef5ed4f595b2,19,Macleay River,NA,-30.9144,152.993,NSW Food Authority,Microalgal Solutions,NSW
a4094575a0e58f777640abdbccf41734,1P,Jervis Bay,Callala,-35.0741,150.704,NSW Food Authority,Microalgal Solutions,NSW
e2667cf152bc005186b4a548684eeba2,1P,Nelson Lagoon,same as Nelson Lake,-36.6689,149.9895,NSW Food Authority,Microalgal Solutions,NSW
26e2853ce432a0176b15e3027c4a6024,1P,Twofold Bay,NA,-37.0763,149.892,NSW Food Authority,Microalgal Solutions,NSW
87f54045c08c6e592f3224bdc44d8da7,1P,Wallis Lake,NA,-32.178,152.5038,NSW Food Authority,Microalgal Solutions,NSW
94f3e7651172f2236fa8b4ea385b9ded,1P,Wapengo Lake,NA,-36.6234,150.017,NSW Food Authority,Microalgal Solutions,NSW
9ec92660e8976b16507837fca00d00ad,2,Clyde River,NA,-35.7051,150.141,NSW Food Authority,Microalgal Solutions,NSW
701db48c89e7ee43b0f68e199b1a2377,2,Jervis Bay,Callala,-35.0647,150.6906,NSW Food Authority,Microalgal Solutions,NSW
964f28c1ea2aa93ab2394d420b337c37,2,Merimbula Lake,NA,-36.8985,149.887,NSW Food Authority,Microalgal Solutions,NSW
f8e32225a8a13daffa222076b60e19dc,2,Tuross Lake,NA,-36.0683,150.131,NSW Food Authority,Microalgal Solutions,NSW
16666e51a5daf18a53f7626ed6a24069,2,Wagonga Inlet,NA,-36.2265,150.077,NSW Food Authority,Microalgal Solutions,NSW
1415d23c5cb34f570b695739d4f98116,2,Wonboyn Lake,NA,-37.2408,149.926,NSW Food Authority,Microalgal Solutions,NSW
a49d025524e9d03c6369da1a01c924fe,20,Macleay River,NA,-30.8911,153.013,NSW Food Authority,Microalgal Solutions,NSW
60147f7e7deb1cc8a574f38d279a9086,20A,Macleay River,NA,-30.8724,153.0151,NSW Food Authority,Microalgal Solutions,NSW
e01d2adce4a3dbaa9c5720e958acda93,21,Camden Haven,NA,-31.6433,152.826,NSW Food Authority,Microalgal Solutions,NSW
404756c3fd7104c19269f63799a4eb29,22,Camden Haven,NA,-31.6818,152.781,NSW Food Authority,Microalgal Solutions,NSW
f34cbe2ee768f37b624880933500faf6,224,Wisemans ferry,NA,-33.3818,150.989389,Hornsby Council,Microalgal solutions,NSW
af40395b69ef58aa321f8e138e7fe400,23,Camden Haven,NA,-31.6276,152.791,NSW Food Authority,Microalgal Solutions,NSW
7122bfa29e15f3e94505347835f4f4a1,25,Port Stephens,NA,-32.6706,152.123,NSW Food Authority,Microalgal Solutions,NSW
fa974bb4308d3b2fa611fc7a5010dd7e,26,Hastings River,NA,-31.3983,152.891,NSW Food Authority,Microalgal Solutions,NSW
0408fb5e2cad3db5989b1ae2f020bbb9,26,Port Stephens,NA,-32.692,152.126,NSW Food Authority,Microalgal Solutions,NSW
8871ce405b004418778ee7a3c4ac91b6,27,Hastings River,NA,-31.4142,152.892,NSW Food Authority,Microalgal Solutions,NSW
70a8c9a94bf150f4246753cd7edbe699,27,Port Stephens,NA,-32.6698,152.168,NSW Food Authority,Microalgal Solutions,NSW
952ace30f0c44910064427f133fc448a,28,Hastings River,NA,-31.4166,152.809,NSW Food Authority,Microalgal Solutions,NSW
6e00445a335871d790ac8a2780684a5e,2P,Jervis Bay,Callala,-35.0647,150.6906,NSW Food Authority,Microalgal Solutions,NSW
d9f859c0607b25e498d2f0c4ee19bc67,2P,Nelson Lagoon,same as Nelson Lake,-36.6836,149.9932,NSW Food Authority,Microalgal Solutions,NSW
71bb2695013c7fd3ace4af2d32822c4f,2P,Twofold Bay,NA,-37.0749,149.9011,NSW Food Authority,Microalgal Solutions,NSW
55f1ad9597536e253d326b1762278173,2P,Wallis Lake,NA,-32.1867,152.5008,NSW Food Authority,Microalgal Solutions,NSW
39dc39575991048ca1450f178fc010e4,2P,Wapengo Lake,NA,-36.6015,150.013,NSW Food Authority,Microalgal Solutions,NSW
db0933230859ef462148ad0bcce28109,3,Clyde River,NA,-35.6729,150.129,NSW Food Authority,Microalgal Solutions,NSW
8b5ab039a2e920cd8583d876ef37e769,3,Jervis Bay,Callala,-35.0276,150.7105,NSW Food Authority,Microalgal Solutions,NSW
113e08260be2063f3b7281004faf951b,3,Merimbula Lake,NA,-36.892,149.8892,NSW Food Authority,Microalgal Solutions,NSW
a9616e6b9bbba388b66ca99e00f272f1,31,Hawkesbury River,NA,-33.5604,151.151,NSW Food Authority,Microalgal Solutions,NSW
5f7501e0cbe925b9de9655e105ad5a47,32,Hawkesbury River,NA,-33.5397,151.145,NSW Food Authority,Microalgal Solutions,NSW
05268425e872a4aad89956f16aa0f5ab,33,Hawkesbury River,NA,-33.5401,151.201,NSW Food Authority,Microalgal Solutions,NSW
aeb85b8e1106b1ac80f16371df0f641a,33,Port Stephens,NA,-32.6648,152.052,NSW Food Authority,Microalgal Solutions,NSW
e5fdc37dd27409b2812211586a0aaf76,34,Hawkesbury River,NA,-33.5552,151.233,NSW Food Authority,Microalgal Solutions,NSW
c73215d0142f70351697d8be584748e5,35,Crookhaven River,NA,-34.9185,150.739,NSW Food Authority,Microalgal Solutions,NSW
02293824076decc73971ac60ba2462f7,35,Hawkesbury River,NA,-33.5196,151.202,NSW Food Authority,Microalgal Solutions,NSW
d3c0a65da41f9ccec3b8e9e209c8c902,35,Shoalhaven Crookhaven,NA,-34.9076,150.7368,NSW Food Authority,Microalgal Solutions,NSW
ab8eb824505d4dd725e3ae02cdf68f3c,35,Shoalhaven River,NA,-34.9076,150.7368,NSW Food Authority,Microalgal Solutions,NSW
9bbc962ce4754ec86f7587955a8a8e2b,36,Crookhaven River,NA,-34.8935,150.724,NSW Food Authority,Microalgal Solutions,NSW
5b2781e4acafe5512746525833cc7b99,36,Shoalhaven Crookhaven,NA,-34.8984,150.744,NSW Food Authority,Microalgal Solutions,NSW
0042b9a09fef64c0f0b2023ff6dbece8,36,Shoalhaven River,NA,-34.8984,150.744,NSW Food Authority,Microalgal Solutions,NSW
439980e05fc7f380eb62fc6cea430c1d,37,Shoalhaven Crookhaven,NA,-34.8628,150.732,NSW Food Authority,Microalgal Solutions,NSW
9e859b9b02081ec4186c10ead5f84d50,37,Shoalhaven River,NA,-34.8628,150.732,NSW Food Authority,Microalgal Solutions,NSW
e3f7105f909163dca5f87d1b7fb541c3,38,Manning River,NA,-31.8899,152.655,NSW Food Authority,Microalgal Solutions,NSW
11ffbeca51f87145df1a3d555056b3d6,38,Sandbrook Inlet,NA,-33.544595,151.21774,Hornsby Council,Microalgal solutions,NSW
4a24407a3749277a863b96e7fbb58cad,38,Shoalhaven Crookhaven,NA,-34.8984,150.744,NSW Food Authority,Microalgal Solutions,NSW
c8c27c4591661d57770db8cbac323733,38,Shoalhaven River,NA,-34.8984,150.744,NSW Food Authority,Microalgal Solutions,NSW
81005ad2b6fb424cd3de93d3da16d192,39,Manning River,NA,-31.8805,152.594,NSW Food Authority,Microalgal Solutions,NSW
dd8c5975b75de8e93ecb8e6ca3efe49b,3P,Jervis Bay,Callala,-35.0276,150.7105,NSW Food Authority,Microalgal Solutions,NSW
8fd4a8b0ef6e9810c9c3d6c8edcb1ff6,3P,Nelson Lagoon,same as Nelson Lake,-36.6747,149.986,NSW Food Authority,Microalgal Solutions,NSW
723ce77266e0de41468b7222e67cdbe3,3P,Twofold Bay,NA,-37.0912,149.914,NSW Food Authority,Microalgal Solutions,NSW
b21cf65deb891e0784221a709cc6d0de,3P,Wallis Lake,NA,-32.187,152.4699,NSW Food Authority,Microalgal Solutions,NSW
3ab85ad4a8719ca3bdafbe6b01564966,4,Jervis Bay,Callala,-35.0425,150.7083,NSW Food Authority,Microalgal Solutions,NSW
9032db1221aee80a536adc316753f9d5,40,Manning River,NA,-31.9417,152.603,NSW Food Authority,Microalgal Solutions,NSW
9418c04de2dc9958a09694411523d186,41,Manning River,NA,-31.9421,152.6025,NSW Food Authority,Microalgal Solutions,NSW
8a211c138a1731680d9c2d8fdc25740d,44,Hawkesbury River,NA,-33.5228,151.233,NSW Food Authority,Microalgal Solutions,NSW
e2d569c92baf2e9ed7f55525f60da36e,45,Fishponds,NA,-33.69222,151.08466667,Hornsby Council,Microalgal solutions,NSW
43a136692c124e586916ede86ee909c2,46,Brisbane Water,NA,-33.5203,151.351,NSW Food Authority,Microalgal Solutions,NSW
835fab594867d63920bae3bb16d60f5c,47,Brisbane Water,NA,-33.4737,151.377,NSW Food Authority,Microalgal Solutions,NSW
f6142da4ae930cdb3f79aaf877bd16d7,48,Brisbane Water,NA,-33.4632,151.326,NSW Food Authority,Microalgal Solutions,NSW
fd2939282754b8b071af91082336cc5e,48,Marramarra Creek,NA,-33.52246,151.10367833,Hornsby Council,Microalgal solutions,NSW
e7400c0412009efb377663bd15f6664f,49,Brisbane Water,NA,-33.49,151.351,NSW Food Authority,Microalgal Solutions,NSW
3a2b969b29faa2f97f10bf45c2490831,4P,Jervis Bay,Callala,-35.0425,150.7083,NSW Food Authority,Microalgal Solutions,NSW
1755fe12f2e7f8c33f8cf277788e3933,4P,Twofold Bay,NA,-37.098,149.8871,NSW Food Authority,Microalgal Solutions,NSW
c661f025a89854712556d3aaf93c7e73,4P,Wallis Lake,NA,-32.2025,152.4576,NSW Food Authority,Microalgal Solutions,NSW
b8b25835fba31050f5f52c7e809b6d9b,52,Brisbane Water,same as 48,-33.4632,151.326,NSW Food Authority,Microalgal Solutions,NSW
7afc2602a622f9d64eed7c80dd319d99,52,Port Stephens,NA,-32.6843,151.997,NSW Food Authority,Microalgal Solutions,NSW
195a0af5cfa1ae20ba03da04aa3ee631,53,Brisbane Water,Same as 46,-33.5203,151.351,NSW Food Authority,Microalgal Solutions,NSW
dfccc33b4986eb3f68a04b37790796a0,54,Brisbane Water,NA,-33.4937,151.373,NSW Food Authority,Microalgal Solutions,NSW
c05b5c26b09574569f4d160fd7790bd4,54,Port Stephens,Same as 52,-32.6843,151.997,NSW Food Authority,Microalgal Solutions,NSW
c325ed4af3a2f90d2805a634e5a9759b,55,Brooklyn Baths,NA,-33.546255,151.23186833,Hornsby Council,Microalgal solutions,NSW
54965eb2a13fda4d58b32dce156e5513,6,Conjola Lake,NA,-35.2628,150.493,NSW Food Authority,Microalgal Solutions,NSW
e4e150d973e2f756b3bcdd2ca91a6f73,60,Berowra Creek Ferry,NA,-33.59869667,151.12327333,Hornsby Council,Microalgal solutions,NSW
74c47100583570f809a92ed6ac943bde,61,Calabash bay,NA,-33.58666167,151.12044167,Hornsby Council,Microalgal solutions,NSW
0f38956cccb3420a461cdf5d91c184ae,7,Georges River,NA,-34.0166,151.186,NSW Food Authority,Microalgal Solutions,NSW
0405ef04224d9c987df7a3be14ed9930,7,Patonga Creek,NA,-33.5326,151.265,NSW Food Authority,Microalgal Solutions,NSW
27781091b78655565c9d769e41ebaec7,7,Wooli River,NA,-29.8773,153.264,NSW Food Authority,Microalgal Solutions,NSW
f5e28e418746edfd349a311ddb31f919,75,Port Stephens,NA,-32.7614,151.986,NSW Food Authority,Microalgal Solutions,NSW
9c623c0902a49e8966ee61a220cd64ce,76,Port Stephens,NA,-32.733,152.053,NSW Food Authority,Microalgal Solutions,NSW
66c75dfdf346587c9249f05a1da8f3ae,7mile,Crookhaven Bight,NA,-34.9185,150.739,NSW Food Authority,Microalgal Solutions,NSW
019e7495021423cc0d33674555642026,8,Jervis Bay,Callala,-35.0693,150.695,NSW Food Authority,Microalgal Solutions,NSW
ccd9ffedf5d8e86b2dae55278e168ce5,88,Calabash bay,NA,-33.58666167,151.12044167,Hornsby Council,Microalgal solutions,NSW
2cc1ed1a688d1e994b284ebd06818eb9,89,Port Stephens,NA,-32.6989,152.06,NSW Food Authority,Microalgal Solutions,NSW
4231ab0dca8ccd043557a45ef1e327dd,8A,Conjola Lake,Lake Conjola/Berringer Lake,-35.2671,150.4817,NSW Food Authority,Microalgal Solutions,NSW
bcd57a3412efc74f8022d04938d1a240,9,Bermagui River,NA,-36.4238,150.054,NSW Food Authority,Microalgal Solutions,NSW
f825c2241a4391fedb5adee3258e40fa,9,Jervis Bay,Callala,-35.0644,150.6839,NSW Food Authority,Microalgal Solutions,NSW
1dcbc6339a4d5cfc9500aca2d463794c,90,Port Stephens,NA,-32.7226,152.065,NSW Food Authority,Microalgal Solutions,NSW
ef742e55a71f1d0fa5ab24e2da029451,9278,D'Entrecasteaux Channel [EPA-SB10],Northern Boundary (M1),-43.0635001,147.3400001,TAS EPA,AST LAB,TAS
f004f201c529364749386f0614728c8a,9574,Storm Bay [IMAS-SB1],SW of Iron Pot,-43.066597,147.395,TAS EPA,AST LAB,TAS
b248507968bc7428ed4ba232282da51f,9575,Storm Bay [IMAS-SB2],Mid Storm Bay,-43.170002,147.554997,TAS EPA,AST LAB,TAS
09b010db952a55768b236c30e6066526,9576,Storm Bay [IMAS-SB3],Site 3,-43.32,147.63,TAS EPA,AST LAB,TAS
3b9a3a8ada3ef60e1f10397c6864e844,9578,Storm Bay [IMAS-SB5],North of Wedge Island,-43.116601,147.666702,TAS EPA,AST LAB,TAS
23e0bf3d9d213379c0f3dda08beb0db0,9579,Storm Bay [IMAS-SB6],East of Variety Bay,-43.2,147.433302,TAS EPA,AST LAB,TAS
27068e090c50f64a99525657bfba8460,9580,Storm Bay [IMAS-SB9],SW of North West Head,-43.026603,147.58143,TAS EPA,AST LAB,TAS
f3b6fc444e9415d2745cb0c530601fb2,9786,Mercury Passage [EPA-MP2],Okehampton Bay,-42.523277,147.977842,TAS EPA,AST LAB,TAS
87bbe57528159f5ead752a46bfc931e6,9787,Mercury Passage [EPA-MP3],North Mercury Passage,-42.531842,148.02718,TAS EPA,AST LAB,TAS
